,half,one
6,0.03410147860967074,0.05649876969819945
8,0.01628597051346249,0.02692914271236894
10,0.009059957242809604,0.014992783099038329
12,0.005536121725303483,0.008891829404030983
14,0.003613362822080441,0.005522908274327532
16,0.002235958948519481,0.0037097732991245662
18,0.0017504658074895096,0.002725953494137952
20,0.0010841052056740391,0.0017514135862618492
22,0.0009603890754974579,0.0011868317066396738
24,0.0006262929169845276,0.0009863129584076996
26,0.0005191818250923932,0.0007924552668809879
28,0.00040879727545558344,0.0006702804927197382
30,0.00038125490657118204,0.0006378309793871575
32,0.00035579126671848703,0.0004993665998402028
34,0.0003817876284132557,0.0006423670301282203
36,0.000339408999364509,0.0007695046295547026
38,0.00040445746468655697,0.00040137030899137785
40,0.0003756722588586138,0.0006428311011305565
42,0.0004377619398658095,0.0007712076040128027
44,0.0004467473166892135,0.0007623750534035303
46,0.0004269085085481085,0.0006446316913792531
48,0.0004845065374656438,0.0008212136262173834
50,0.0004155944208238955,0.0012045578949101774
52,0.00047854454415040845,0.0005290544788146056
54,0.0005319991290350976,0.0009012720043622617
56,0.0005375143588721568,0.0009279523896184047
58,0.0005426378627521261,0.0009768737535717626
