,Approximate,Exact,$ ||.||_2 \ Error $
10,"[0.         0.27075486 0.53901509 0.80185964 1.05664878 1.30082246
 1.53192574 1.74763303 1.94577091 2.12433946 2.28735529]","[0.         0.27137536 0.54003923 0.80330721 1.0585488  1.30321373
 1.53485738 1.75116523 1.94997603 2.1293033  2.28735529]",0.008732197288082536
15,"[0.         0.18089675 0.36105492 0.53960525 0.71575285 0.88871344
 1.0577168  1.22201018 1.3808616  1.53356311 1.67943388 1.81782324
 1.94811353 2.06972289 2.1821079  2.28735529]","[0.         0.18108458 0.36136464 0.54003923 0.71631454 0.8894074
 1.0585488  1.22298729 1.38199229 1.53485738 1.6809034  1.81948151
 1.94997603 2.07180719 2.18443374 2.28735529]",0.004883567143164083
20,"[0.         0.13577892 0.27124627 0.40603472 0.53980694 0.67222818
 0.80296703 0.93169628 1.05809373 1.18184303 1.30263439 1.42016546
 1.53414199 1.64427865 1.75029971 1.85193975 1.94894435 2.04107073
 2.12808836 2.20977963 2.28735529]","[0.         0.13585747 0.27137536 0.40621496 0.54003923 0.67251369
 0.80330721 0.93209288 1.0585488  1.18235891 1.30321373 1.4208112
 1.53485738 1.64506721 1.75116523 1.85288625 1.94997603 2.04219187
 2.1293033  2.21109259 2.28735529]",0.0031606195962756356
25,"[0.         0.10867134 0.21718313 0.32534707 0.43298996 0.53993941
 0.64602413 0.75107422 0.85492143 0.95739941 1.05834399 1.15759346
 1.25498879 1.35037391 1.44359592 1.53450539 1.62295655 1.70880753
 1.79192059 1.87216235 1.94940398 2.02352142 2.0943956  2.16191261
 2.22596396 2.28735529]","[0.         0.10870228 0.21723066 0.32541152 0.43307179 0.54003923
 0.64614273 0.75121254 0.85508057 0.95758065 1.0585488  1.15782351
 1.25524594 1.35066025 1.44391379 1.53485738 1.62334552 1.70923665
 1.79239337 1.87268265 1.94997603 2.02414986 2.09508549 2.16266943
 2.22679355 2.28735529]",0.0019677674210271654
30,"[0.         0.09057267 0.18105301 0.27133203 0.36130934 0.4508849
 0.53995911 0.62843293 0.71620798 0.80318667 0.88927228 0.97436908
 1.05838245 1.14121898 1.22278655 1.30299446 1.38175352 1.45897615
 1.53457647 1.60847042 1.68057584 1.75081254 1.81910242 1.88536957
 1.94954032 2.01154336 2.07130983 2.12877342 2.1838705  2.23654023
 2.28735529]","[0.         0.09059262 0.18108458 0.27137536 0.36136464 0.45095244
 0.54003923 0.62852603 0.71631454 0.80330721 0.8894074  0.97451945
 1.0585488  1.1414021  1.22298729 1.30321373 1.38199229 1.45923544
 1.53485738 1.60877407 1.6809034  1.75116523 1.81948151 1.88577632
 1.94997603 2.01200929 2.07180719 2.1293033  2.18443374 2.23713725
 2.28735529]",0.0016392872919441567
35,"[0.         0.07764766 0.15523715 0.23269979 0.30997227 0.38699146
 0.46369443 0.5400185  0.6159013  0.69128083 0.76609549 0.84028415
 0.91378619 0.98654155 1.05849077 1.12957508 1.19973638 1.26891735
 1.33706146 1.40411303 1.47001728 1.53472037 1.59816943 1.66031264
 1.72109923 1.78047956 1.83840513 1.89482865 1.94970403 2.0029865
 2.05463257 2.10460009 2.15284833 2.19933793 2.24403101 2.28735529]","[0.         0.07765463 0.15524587 0.23271039 0.30998495 0.38700649
 0.46371212 0.54003923 0.61592553 0.69130906 0.7661283  0.84032217
 0.91383012 0.98659212 1.0585488  1.12964142 1.19981195 1.2690031
 1.3371584  1.40422222 1.47013981 1.53485738 1.59832208 1.66048211
 1.72128675 1.78068634 1.83863242 1.89507767 1.94997603 2.00328267
 2.0549541  2.10494812 2.15322394 2.19974214 2.24446476 2.28735529]",0.0010991522223418328
40,"[0.         0.06794224 0.13584554 0.20366389 0.27135489 0.33887621
 0.40618564 0.47324109 0.54000062 0.6064225  0.6724652  0.73808742
 0.80324812 0.86790657 0.93202233 0.99555532 1.05846581 1.12071446
 1.18226235 1.24307099 1.30310236 1.36231892 1.42068363 1.47816001
 1.53471209 1.59030453 1.64490254 1.69847197 1.75097933 1.80239177
 1.85267713 1.90180397 1.94974156 1.99645994 2.04192991 2.08612306
 2.12901181 2.17056936 2.2107698  2.24958801 2.28735529]","[0.         0.06794997 0.13585747 0.20368006 0.27137536 0.33890106
 0.40621496 0.47327499 0.54003923 0.60646597 0.67251369 0.7381411
 0.80330721 0.86797127 0.93209288 0.99563196 1.0585488  1.12080409
 1.18235891 1.24317479 1.30321373 1.3624382  1.4208112  1.47829623
 1.53485738 1.59045928 1.64506721 1.69864702 1.75116523 1.80258902
 1.85288625 1.90202549 1.94997603 1.99670789 2.04219187 2.08639955
 2.1293033  2.17087631 2.21109259 2.249927   2.28735529]",0.001027642619279854
45,"[0.         0.06039625 0.12076514 0.18107437 0.24129415 0.30139473
 0.36134642 0.42111959 0.48068473 0.54001241 0.59907331 0.65783826
 0.71627823 0.77436434 0.83206791 0.88936041 0.94621355 1.00259924
 1.05848961 1.11385707 1.16867425 1.22291408 1.27654976 1.3295548
 1.38190301 1.43356855 1.48452589 1.53474989 1.58421575 1.63289906
 1.6807758  1.72782236 1.77401557 1.81933267 1.86375136 1.9072498
 1.94980664 1.99140102 2.03201258 2.0716215  2.1102085  2.14775485
 2.18424241 2.21965363 2.25397159 2.28735529]","[0.         0.06040129 0.12077276 0.18108458 0.24130699 0.30141023
 0.36136464 0.42114061 0.48070861 0.54003923 0.59910318 0.65787129
 0.71631454 0.77440406 0.83211118 0.8894074  0.94626442 1.00265417
 1.0585488  1.11392072 1.16874257 1.22298729 1.27662809 1.32963848
 1.38199229 1.43366366 1.48462708 1.53485738 1.58432975 1.63301977
 1.6809034  1.72795698 1.77415729 1.81948151 1.86390725 1.90741259
 1.94997603 1.99157656 2.03219363 2.07180719 2.11039769 2.14794605
 2.18443374 2.21984274 2.25415557 2.28735529]",0.0007396640689865494
50,"[0.         0.05436195 0.10870394 0.1630024  0.21723559 0.27138178
 0.32541929 0.37932648 0.43308177 0.48666361 0.54005057 0.59322125
 0.64615435 0.69882869 0.75122315 0.80331675 0.85508862 0.90651804
 0.95758438 1.00826719 1.05854618 1.10840118 1.15781223 1.20675953
 1.25522347 1.30318461 1.35062374 1.39752185 1.44386013 1.48962002
 1.53478316 1.57933146 1.62324705 1.66651232 1.70910991 1.75102276
 1.79223404 1.83272722 1.87248607 1.91149461 1.9497372  1.98719849
 2.02386343 2.05971729 2.09474569 2.12893453 2.16227007 2.19473891
 2.22632797 2.25702455 2.28735529]","[0.         0.05436201 0.10870228 0.16299907 0.21723066 0.27137536
 0.32541152 0.37931751 0.43307179 0.48665284 0.54003923 0.59320962
 0.64614273 0.69881739 0.75121254 0.80330721 0.85508057 0.9065119
 0.95758065 1.00826637 1.0585488  1.10840783 1.15782351 1.20677607
 1.25524594 1.30321373 1.35066025 1.39756652 1.44391379 1.48968351
 1.53485738 1.57941732 1.62334552 1.6666244  1.70923665 1.75116523
 1.79239337 1.83290458 1.87268265 1.91171167 1.94997603 1.98746042
 2.02414986 2.06002967 2.09508549 2.1293033  2.16266943 2.19517051
 2.22679355 2.25752591 2.28735529]",0.0012641384861133012
55,"[0.         0.04941847 0.09882195 0.14819276 0.19751457 0.24677105
 0.29594594 0.34502296 0.39398589 0.44281854 0.49150476 0.54002844
 0.58837355 0.6365241  0.68446417 0.73217789 0.77964951 0.82686331
 0.87380369 0.92045512 0.96680219 1.01282956 1.05852202 1.10386445
 1.14884188 1.19343942 1.23764233 1.281436   1.32480594 1.36773782
 1.41021744 1.45223076 1.49376387 1.53480304 1.5753347  1.61534542
 1.65482197 1.69375126 1.7321204  1.76991664 1.80712745 1.84374044
 1.87974341 1.91512434 1.94987137 1.98397283 2.01741721 2.05019315
 2.08228945 2.11369504 2.14439901 2.17439052 2.20365887 2.23219338
 2.25998345 2.28735529]","[0.         0.04942058 0.09882483 0.14819641 0.19751899 0.24677629
 0.29595201 0.34502989 0.39399372 0.44282731 0.49151451 0.54003923
 0.58838543 0.63653713 0.68447841 0.73219342 0.77966639 0.82688163
 0.87382353 0.92047656 0.96682532 1.01285447 1.0585488  1.10389321
 1.14887271 1.19347242 1.23767761 1.28147366 1.3248461  1.36778058
 1.41026291 1.45227905 1.49381512 1.53485738 1.57539225 1.61540636
 1.65488645 1.6938195  1.73219262 1.76999313 1.80720853 1.84382652
 1.87983501 1.91522207 1.94997603 1.98408538 2.01753885 2.05032539
 2.08243415 2.11385452 2.14457612 2.17458878 2.20388259 2.23244787
 2.26027517 2.28735529]",0.0006747269346217158
