,Approximate,Exact,$ ||.||_2 \ Error $
10,"[0.         0.16450112 0.32748575 0.48718068 0.64198277 0.79033639
 0.9307483  1.06180232 1.18217252 1.29063612 1.38735111]","[0.         0.16459748 0.32755035 0.48723045 0.6420423  0.79043908
 0.93093806 1.0621354  1.18272025 1.29148774 1.38735111]",0.0010964613444016573
15,"[0.         0.10982    0.21919206 0.32758938 0.43453024 0.53953935
 0.64215002 0.74190614 0.83836431 0.93109579 1.0196883  1.1037478
 1.18290047 1.25679396 1.32509908 1.38735111]","[0.         0.10983335 0.21917873 0.32755035 0.43446673 0.53945286
 0.6420423  0.74177929 0.83822069 0.93093806 1.01951945 1.10357132
 1.18272025 1.25661458 1.32492604 1.38735111]",0.0004907658669494149
20,"[0.         0.08240254 0.16461612 0.246418   0.32760375 0.40797034
 0.48731689 0.56544512 0.64215967 0.7172689  0.79058517 0.86192524
 0.93111099 0.99796967 1.06233452 1.12404482 1.18294653 1.23889269
 1.29174387 1.34136817 1.38735111]","[0.         0.08240172 0.16459748 0.24638183 0.32755035 0.40790017
 0.48723045 0.56534291 0.6420423  0.71713693 0.79043908 0.86176555
 0.93093806 0.9977837  1.0621354  1.12383232 1.18272025 1.23865198
 1.29148774 1.34109544 1.38735111]",0.0007097882957006312
25,"[0.         0.06593315 0.13176955 0.19739509 0.26270472 0.32759411
 0.39195956 0.45569767 0.51870669 0.58088587 0.64213515 0.70235774
 0.76145708 0.81933845 0.87590972 0.93107981 0.98476129 1.03686824
 1.08731866 1.1360331  1.18293576 1.22795227 1.27101489 1.31205888
 1.3510233  1.38735111]","[0.         0.06593127 0.13175706 0.19737206 0.26267132 0.32755035
 0.39190538 0.45563344 0.51863258 0.58080202 0.6420423  0.70225546
 0.76134515 0.81921685 0.87577798 0.93093806 0.98460883 1.03670443
 1.08714153 1.13583944 1.18272025 1.22770895 1.27073358 1.31172531
 1.35061856 1.38735111]",0.0008282330870124731
30,"[0.         0.05494903 0.1098421  0.16461312 0.21920124 0.27354584
 0.32758652 0.38126327 0.43451648 0.48728701 0.53951622 0.59114612
 0.6421193  0.69237919 0.74186993 0.79053657 0.83832508 0.88518236
 0.93105643 0.97589636 1.01965233 1.06227575 1.10371932 1.14393695
 1.18288406 1.22051741 1.25679524 1.29167718 1.32512453 1.3570999
 1.38735111]","[0.         0.0549472  0.10983335 0.16459748 0.21917873 0.27351648
 0.32755035 0.38122031 0.43446673 0.48723045 0.53945286 0.59107593
 0.6420423  0.69229537 0.74177929 0.79043908 0.83822069 0.88507104
 0.93093806 0.9757708  1.01951945 1.0621354  1.10357132 1.14378116
 1.18272025 1.22034532 1.25661458 1.29148774 1.32492604 1.35689233
 1.38735111]",0.000627849139383731
35,"[0.         0.04710916 0.09418304 0.14117999 0.18806164 0.23478968
 0.28132598 0.32763252 0.3736715  0.41940527 0.46479656 0.50980821
 0.55440355 0.59854616 0.64219993 0.68532919 0.72789877 0.76987391
 0.81122014 0.85190368 0.89189135 0.93115047 0.96964885 1.00735499
 1.04423804 1.08026795 1.11541535 1.14965146 1.18294816 1.21527803
 1.24661472 1.27693267 1.30620687 1.3344133  1.36152894 1.38735111]","[0.         0.04709991 0.09416138 0.14114599 0.18801538 0.2347313
 0.28125562 0.32755035 0.37357772 0.41930014 0.46468031 0.50968116
 0.55426598 0.59839837 0.6420423  0.68516216 0.72772273 0.76968929
 0.81102757 0.85170383 0.89168487 0.93093806 0.96943134 1.00713331
 1.04401319 1.08004086 1.11518693 1.14942271 1.18272025 1.21505236
 1.24639266 1.27671557 1.30599634 1.33421105 1.36133669 1.38735111]",0.001008171550593223
40,"[0.         0.04121561 0.0824076  0.12354809 0.16461135 0.20557172
 0.24640357 0.2870814  0.32757977 0.36787343 0.40793717 0.44774594
 0.48727492 0.52649935 0.56539473 0.60393669 0.64210119 0.67986441
 0.71720268 0.75409271 0.79051153 0.82643626 0.86184441 0.89671405
 0.93102323 0.96475073 0.99787537 1.03037637 1.06223345 1.09342668
 1.12393659 1.15374429 1.18283115 1.21117892 1.23876992 1.26558709
 1.29161369 1.31683363 1.34123121 1.36479111 1.38735111]","[0.         0.04121374 0.08240172 0.1235382  0.16459748 0.20555388
 0.24638183 0.28705579 0.32755035 0.3678402  0.40790017 0.44770521
 0.48723045 0.52645119 0.56534291 0.60388131 0.6420423  0.67980204
 0.71713693 0.75402363 0.79043908 0.82636054 0.86176555 0.89663199
 0.93093806 0.96466232 0.9977837  1.0302815  1.0621354  1.09332551
 1.12383232 1.15363678 1.18272025 1.21106455 1.23865198 1.2654653
 1.29148774 1.31670304 1.34109544 1.36464971 1.38735111]",0.0005073695198453076
45,"[0.         0.03663893 0.07326128 0.10984743 0.14637932 0.18283891
 0.21920822 0.25546926 0.29160412 0.32759496 0.36342403 0.3990736
 0.43452604 0.46976384 0.50476961 0.53952602 0.57401604 0.60822261
 0.64212873 0.67571771 0.70897294 0.74187801 0.7744167  0.80657291
 0.83833075 0.86967458 0.90058886 0.93105831 0.96106785 0.99060268
 1.01964822 1.04819018 1.0762143  1.10370684 1.13065411 1.15704272
 1.18285961 1.20809177 1.23272671 1.25675219 1.28015615 1.30292672
 1.32505259 1.34652235 1.36732519 1.38735111]","[0.         0.03663524 0.07325238 0.10983335 0.14636009 0.18281455
 0.21917873 0.25543469 0.29156451 0.32755035 0.36337445 0.39901911
 0.43446673 0.46969981 0.50470094 0.53945286 0.57393838 0.6081405
 0.6420423  0.67562707 0.7088782  0.74177929 0.77431408 0.80646651
 0.83822069 0.86956097 0.90047184 0.93093806 0.96094457 0.99047656
 1.01951945 1.04805889 1.07608079 1.10357132 1.1305169  1.15690421
 1.18272025 1.20795224 1.23258774 1.25661458 1.2800209  1.30279513
 1.32492604 1.34640268 1.36721447 1.38735111]",0.0006683314892590073
50,"[0.         0.03297367 0.06593525 0.09887045 0.13176608 0.16460899
 0.19738605 0.23008415 0.26269022 0.29519119 0.32757406 0.35982586
 0.39193368 0.42388469 0.45566613 0.4872653  0.51866958 0.54986641
 0.5808433  0.61158787 0.64208778 0.67233084 0.70230488 0.73199793
 0.76139817 0.79049383 0.81927322 0.84772483 0.87583735 0.9035996
 0.93100042 0.95802879 0.98467404 1.01092537 1.03677238 1.0622048
 1.0872124  1.11178511 1.13591328 1.15958719 1.18279739 1.20553452
 1.2277896  1.24955367 1.27081821 1.29157478 1.31181508 1.33153087
 1.35071437 1.36935785 1.38735111]","[0.         0.03297223 0.06593127 0.09886393 0.13175706 0.16459748
 0.19737206 0.2300677  0.26267132 0.29516987 0.32755035 0.35979982
 0.39190538 0.42385417 0.45563344 0.48723045 0.51863258 0.54982726
 0.58080202 0.61154447 0.6420423  0.67228333 0.70225546 0.73194669
 0.76134515 0.79043908 0.81921685 0.84766695 0.87577798 0.90353872
 0.93093806 0.95796503 0.98460883 1.0108588  1.03670443 1.0621354
 1.08714153 1.11171282 1.13583944 1.15951174 1.18272025 1.20545568
 1.22770895 1.24947115 1.27073358 1.29148774 1.31172531 1.33143822
 1.35061856 1.36925868 1.38735111]",0.0004069343668889845
55,"[0.         0.02997623 0.05994338 0.08989071 0.11980831 0.1496863
 0.17951479 0.20928391 0.23898384 0.26860474 0.29813684 0.32757035
 0.35689554 0.38610272 0.41518221 0.44412443 0.47291978 0.5015588
 0.53003203 0.55833005 0.58644352 0.61436313 0.64207962 0.66958382
 0.6968666  0.72391905 0.75073215 0.77729702 0.80360491 0.82964706
 0.85541494 0.88090003 0.90609391 0.93098832 0.95557504 0.97984587
 1.00379289 1.02740817 1.05068386 1.07361234 1.09618598 1.1183973
 1.14023908 1.16170402 1.18278502 1.20347506 1.22376732 1.24365512
 1.26313206 1.28219153 1.30082735 1.31903329 1.3368034  1.35413196
 1.37101314 1.38735111]","[0.         0.0299751  0.05994029 0.08988566 0.11980133 0.14967739
 0.17950397 0.20927121 0.23896927 0.26858834 0.29811862 0.32755035
 0.3568738  0.38607929 0.41515714 0.44409776 0.47289157 0.50152906
 0.53000076 0.55829726 0.5864092  0.61432729 0.6420423  0.66954508
 0.69682652 0.72387762 0.75068942 0.77725307 0.80355978 0.82960085
 0.85536769 0.88085177 0.90604467 0.93093806 0.9555237  0.97979348
 1.00373937 1.02735346 1.05062793 1.0735551  1.09612738 1.11833732
 1.14017757 1.16164091 1.18272025 1.20340861 1.22369917 1.24358521
 1.26306016 1.28211758 1.30075117 1.31895477 1.33672236 1.35404808
 1.37092619 1.38735111]",0.00035809028860973657
